Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment
83,LPD 68,434.750000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch68 (license-free <=10mW)
84,LPD 69,434.775000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch69 (license-free <=10mW)
85,2M CALL,145.500000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,2m FM calling
86,ISS VOICE,145.800000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,ISS downlink / SSTV
87,ISS RPTR,437.800000,,0.000000,,88.5,88.5,023,NN,FM,12.50,,ISS FM repeater downlink
88,RZD,151.825000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,RZD railway main channel
89,MARINE16,156.800000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,Marine distress/calling ch16
90,MARINE06,156.300000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,Marine ch6
91,MARINE12,156.600000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,Marine ch12
92,NOAA19,137.100000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,NOAA-19 wx sat (carrier only)
93,NOAA15,137.620000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,NOAA-15 wx sat
94,SVO TWR,120.700000,,0.000000,,88.5,88.5,023,NN,AM,25.00,,Moscow airband AM (RX)
95,SVO TWR2,131.500000,,0.000000,,88.5,88.5,023,NN,AM,25.00,,Moscow airband AM (RX)
96,SVO GND,119.000000,,0.000000,,88.5,88.5,023,NN,AM,25.00,,Moscow airband AM (RX)
97,SVO GND2,121.800000,,0.000000,,88.5,88.5,023,NN,AM,25.00,,Moscow airband AM (RX)
98,SVO APP,121.900000,,0.000000,,88.5,88.5,023,NN,AM,25.00,,Moscow airband AM (RX)
99,SVO APP2,123.600000,,0.000000,,88.5,88.5,023,NN,AM,25.00,,Moscow airband AM (RX)
